"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","DEQ General Permit Type","DEQ General Permit Display Type"
"Manheim Portland Manheim","3000 N HAYDEN ISLAND DR, PORTLAND, OR 97217","www.portlandcleanair.org/26-9546","Yes","No",27,"27"
"Timby's Too LLC Timby's Dipstrip","7510 N DELAWARE AVE, PORTLAND, OR 97217","www.portlandcleanair.org/26-0232","Yes","No",28,"Other"
"Aarons Custom Metal Fab, Inc. ","4709 NE 148TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0167","Yes","No",29,"Other"
"Metal Enterprises, Inc. ","2425 NW 23RD PL, PORTLAND, OR 97210","www.portlandcleanair.org/26-0197","Yes","No",29,"Other"
"EVRAZ Inc, NA ","14400 N RIVERGATE BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-1865","Yes","Yes",31,"31"
"Owens-Brockway Glass Container Inc. ","9710 NE Glass Plant Road, PORTLAND, OR 97220","www.portlandcleanair.org/26-1876","Yes","No",31,"31"
"Arc Terminals Holdings, LLC Willbridge Asphalt Refinery","5501 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2025","Yes","No",31,"31"
"Chevron Products Company ","5531 NW DOANE AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2027","Yes","No",31,"31"
"Kinder Morgan Liquids Terminals LLC Willbridge Terminal","5880 NW ST HELENS RD, PORTLAND, OR 97210","www.portlandcleanair.org/26-2028","Yes","No",31,"31"
"Shore Terminals LLC Nustar","9420 NW SAINT HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-2029","Yes","No",31,"31"
"BP West Coast Products, LLC ","9930 NW SAINT HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-2030","Yes","No",31,"31"
"Oregon Health Sciences University ","3181 SW SAM JACKSON PARK RD, PORTLAND, OR 97239","www.portlandcleanair.org/26-2050","Yes","No",31,"31"
"ESCO Corporation ","2141 NW 25TH AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2068","Yes","Yes",31,"31"
"Daimler Trucks North America, LLC Western Star Truck Plant Portland","6936 N FATHOM ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-2197","Yes","Yes",31,"31"
"Northwest Pipe Company ","12005 N BURGARD WAY, PORTLAND, OR 97203","www.portlandcleanair.org/26-2492","Yes","Yes",31,"31"
"Graphic Packaging International, Inc ","3400 N MARINE DR, PORTLAND, OR 97217","www.portlandcleanair.org/26-2777","Yes","Yes",31,"31"
"Gunderson LLC ","4700 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2944","Yes","No",31,"31"
"Arclin Surfaces, Inc. Portland Operations","2301 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-3009","Yes","Yes",31,"31"
"Owens Corning Roofing and Asphalt, LLC ","11910 NW SAINT HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-3067","Yes","No",31,"31"
"Vigor Industrial, LLC ","5555 N CHANNEL AVE BLDG 71, PORTLAND, OR 97217","www.portlandcleanair.org/26-3224","Yes","No",31,"31"
"Metropolitan Service District St Johns Landfill","9363 N COLUMBIA BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-3310","Yes","No",31,"31"
"Owens Corning Foam Insulation, LLC Owens Corning-Gresham Plant","18456 NE WILKES RD, GRESHAM, OR 97230","www.portlandcleanair.org/26-9537","Yes","No",31,"31"
"Rodda Paint Co. ","6123 N MARINE DR, PORTLAND, OR 97203","www.portlandcleanair.org/26-0026","Yes","No",32,"32"
"SemiConductor Components Industries, LLC ON Semiconductor","23400 NE GLISAN ST, GRESHAM, OR 97030","www.portlandcleanair.org/26-0027","Yes","Yes",32,"32"
"Columbia Structural Tubing Inc. Evraz Oregon Steel Structural Tubing","8735 N HARBORGATE ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-0054","Yes","Yes",32,"32"
"City of Portland,Bureau of Environmental Columbia Blvd WWTP","5001 N. COLUMBIA BLVD., PORTLAND, OR 97203","www.portlandcleanair.org/26-0100","Yes","No",32,"32"
"Bushwacker, Inc. ","9269 N BRADFORD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-0123","Yes","No",32,"32"
"Waste Management of Oregon, Inc. WM Agilyx Wastech","701 N HUNT ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-0170","Yes","No",32,"32"
"Troutdale Energy Center LLC Troutdale Energy Center","TROUTDALE REYNOLDS INDUSTRIAL PK LOT 3, TOUTDALE, OR 97060","www.portlandcleanair.org/26-0235","Yes","No",32,"32"
"Solenis LLC ","3366 NW YEON AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-1814","Yes","Yes",32,"32"
"Owens Corning Roofing and Asphalt, LLC Trumbull Asphalt","3750 NW YEON AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-1815","Yes","No",32,"32"
"PCC Structurals, Inc. ","4600 SE HARNEY DR, PORTLAND, OR 97206","www.portlandcleanair.org/26-1867","Yes","Yes",32,"32"
"Columbia Steel Casting Co Inc. ","10425 N BLOSS AVE, PORTLAND, OR 97203","www.portlandcleanair.org/26-1869","Yes","Yes",32,"32"
"J. R. Simplot Company Rivergate Terminal","14003 N RIVERGATE BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-1889","Yes","Yes",32,"32"
"Ash Grove Cement Company ","13939 N RIVERGATE BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-1891","Yes","Yes",32,"32"
"R. R. Donnelley Norwest, Inc. ","17401 NE HALSEY ST, PORTLAND, OR 97230","www.portlandcleanair.org/26-1892","Yes","No",32,"32"
"Herbert Malarkey Roofing Company ","3131 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-1894","Yes","Yes",32,"32"
"LD Commodities, Northwest Facility, LLC O'Dock - Facility","900 N THUNDERBIRD WAY, PORTLAND, OR 97227","www.portlandcleanair.org/26-2000","Yes","Yes",32,"32"
"Temco, LLC A Limited Liability Company of Delaware ","800 N RIVER ST., PORTLAND, OR 97227","www.portlandcleanair.org/26-2003","Yes","No",32,"32"
"Phillips 66 Company Phillips 66 Portland Terminal","5528 NW DOANE AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2026","Yes","No",32,"32"
"CertainTeed Corporation ","6350 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2043","Yes","Yes",32,"32"
"Boeing Company (The) ","19000 NE SANDY BLVD, PORTLAND, OR 97230","www.portlandcleanair.org/26-2204","Yes","Yes",32,"32"
"Equilon Enterprises LLC dba Shell Oil Products US","3800 NW ST HELENS RD, PORTLAND, OR 97210","www.portlandcleanair.org/26-2478","Yes","No",32,"32"
"Container Management Services, LLC ","3000 NW SAINT HELENS RD, PORTLAND, OR 97210","www.portlandcleanair.org/26-2572","Yes","No",32,"32"
"Columbia Export Terminal, LLC ","15660 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-2807","Yes","Yes",32,"32"
"Kinder Morgan Bulk Terminals, Inc. Terminal 4 - Pier 4","11040 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-2909","Yes","Yes",32,"32"
"Port Of Portland Portland Intl Airport","7320 NE AIRPORT WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-2914","Yes","Yes",32,"32"
"Cenveo Corporation Graphic Arts Center","2000 NW WILSON ST, PORTLAND, OR 97209","www.portlandcleanair.org/26-2931","Yes","Yes",32,"32"
"United States Bakery Franz Bakery Portland","340 NE 11TH AVE, PORTLAND, OR 97232","www.portlandcleanair.org/26-2952","Yes","No",32,"32"
"Mondelez Global LLC ","100 NE COLUMBIA BLVD, PORTLAND, OR 97211","www.portlandcleanair.org/26-2968","Yes","Yes",32,"32"
"Siltronic Corporation ","7200 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-3002","Yes","Yes",32,"32"
"American Petroleum Environmental Services, Inc. ","11535 N FORCE AVE, PORTLAND, OR 97217","www.portlandcleanair.org/26-3021","Yes","No",32,"32"
"Myers Containers, LLC ","8435 NE KILLINGSWORTH ST, PORTLAND, OR 97220","www.portlandcleanair.org/26-3035","Yes","No",32,"32"
"Cascade Corporation ","2201 NE 201ST AVE, FAIRVIEW, OR 97024","www.portlandcleanair.org/26-3038","Yes","No",32,"32"
"Oregonian Publishing Co. ","1621 SW TAYLOR, PORTLAND, OR 97205","www.portlandcleanair.org/26-3045","Yes","Yes",32,"32"
"Oil Re-Refining Company Inc. ","4150 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-3048","Yes","Yes",32,"32"
"QG Printing II Corp. ","6031 NE 92ND DR, PORTLAND, OR 97220","www.portlandcleanair.org/26-3110","Yes","Yes",32,"32"
"Bullseye Glass Co. ","3722 SE 21ST AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-3135","Yes","No",32,"32"
"Microchip Technology, Inc. ","21015 SE STARK ST, GRESHAM, OR 97030","www.portlandcleanair.org/26-3240","Yes","Yes",32,"32"
"Sapa, Inc. ","5325 NE SKYPORT WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-3241","Yes","Yes",32,"32"
"Oregon Air National Guard ","6801 NE CORNFOOT RD, PORTLAND, OR 97218","www.portlandcleanair.org/26-3254","Yes","Yes",32,"32"
"Boeing Company Boeing PDX","4635 NE CORNFOOT RD, PORTLAND, OR 97218","www.portlandcleanair.org/26-3291","Yes","No",32,"32"
"Canron Western Constructors, Inc. ","4600 NE 138TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-3311","Yes","No",32,"32"
"Silver Eagle Manufacturing Co. ","5825 NE SKYPORT WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-3317","Yes","Yes",32,"32"
"CBG Portland, LLC ","6849 NE COLUMBIA BLVD, PORTLAND, OR 97218","www.portlandcleanair.org/26-9820","Yes","No",32,"32"
"Flint Group North America Flint Ink","2985 N MARINE DR, PORTLAND, OR 97217","www.portlandcleanair.org/26-0076","Yes","Yes",33,"33"
"Mutual Materials Company ","2300 SE HOGAN ROAD, GRESHAM, OR 97080","www.portlandcleanair.org/26-0088","Yes","No",33,"33"
"Journal Graphics, Inc. ","2840 NW 35TH AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-0103","Yes","Yes",33,"33"
