company source no,filename,facility name,st addr, city addr, zip addr
15-0020,150020Bois,Boise Cascade - Rogue Valley Plywood,1795 Antelope Road,White City OR,97503
34-2813,342813Jire,Jireh Semiconductor Inc.,3131 NE Brookwood Pkwy,Hillsboro,97124
26-3135,263135-2Bu,Bullseye Glass Company,3722 SE 21st Avenue,Portland,97202
02-9503,029503Paci,Pacific Northwest Generating Cooperative,29160 Coffin Butte Road,Corvalis,97330
07-0046,070046Appl,Prineville Data Center,1600 SW Baldwin Rd.,Prineville,97754
15-0021,150021-1So,South Stage Landfill,4761 South Stage Road,Jacksonville OR,97530
19-0016,190016RedR,Red Rock Biofuels,Tax lot # 39S20E000004900 (No address assigned yet); Latitude 42°9'41.76"N; Longitude 120°21'0.87"W,Lakeview,97630
24-0129,240129Stee,Steelhead Metal & Fab LLC,3958 Boone Rd SE,Salem,97301
04-0041,040041-1Ha,Hampton Lumber Mills Inc.,550 Skipanon Drive,Warrenton,97146
36-7004,367004McFa,McFarland Cascade Holdings Inc.,22125 SW Rock Creek Road,Sheridan,97378
03-2533,03-2533_In,Interfor US Inc. – Molalla Division,15555 S. Highway 211,Molalla,97038
34-2756,342756DMHI,DMH Inc.,3802 24th Avenue,Forest Grove,97116
10-0008,100008Oreg,Oregon Door Company,477 Dillard Gardens Road ,Dillard OR,97432
34-0009,340009-2In,International Paper,5570 SW Western Ave,Beaverton,97005
08-0003,080003Paci,Pacific Wood Laminates Inc.,P.O. Box 820,Brookings Oregon,97415
25-0041,250041Finl,Finley BioEnergy LLC Gas to Energy Plant,73221 Bombing Range Road,Boardman,97818
25-0007,250007-3VA,VadataInc,73575 Lewis and Clark Drive,Boardman,97818
29-0077,290077Stim,Stimson Lumber Company,5900 Moffett Road,Tillamook OR,97141
05-0014,050014Long,Clatskanie Chip Plant,76103 Highway 47,Clatskanie   ,97016
34-2678,342678-1Vi,Viasystems Corporation (dba TTM Technologies Inc.),1521 Poplar Lane,Forest Grove,97116
34-0058,340058-1In,International Paper Co.,23950 NW Huffman Street,Hillsboro OR,97124
03-2777,032777Mile,Miles Fiberglass & Plastics Inc.  Building A,1516 Main St ,Oregon City,97045
03-2145,032145West,West Linn Paper Company,4800 Mill Street,West Linn,97068
15-0012,150012Murp,Murphy Veneer,7975 11th Street,White City,97503
26-2028,262028Kind,Kinder Morgan Liquids Terminals LLC,5880 NW St. Helens Road,Portland,97210
34-0081,340081Lake,LAKESIDE LUMBER,10600 SW Tualatin Sherwood Rd.,Tualatin,97062
26-2030,262030BPWe,BP West Coast Products LLC: Portland Terminal,9930 NW St. Helens Road,Portland,97231
03-0065,030065Conv,Conveyco Mfg. Corp.,15151 S.E. Minuteman Way,Clackamas Oregon,97015
26-0243,260243Mult,East County Courts,18480 SE Stark Street,Portland,97223
05-2042,052042Dyno,Dyno Nobel Inc.,63149 Columbia River Highway,Deer Island,97054
12-0032,120032-1Oc,Malheur Lumber Company,60339 West Highway 26,John Day OR,97845
34-9514,349514Agil,Agilyx Corporation,7904 Hunziker Street,Tigard,97223
26-0026,260026Rodd,Rodda Paint Co.,6123 N. Marine Drive,Portland,97203
05-0023,050023Casc,Columbia Pacific Bio-Refinery,81200 Kallunki Road,Clatskanie,97016
25-0039,250039Calb,Calbee North America,72600 Lewis & Clark Dr.,Boardman OR,97818
26-2003,26-2003_1_,TEMCO LLC,800 N. River St,Portland,97227
10-0018,100018DRJo,D.R. Johnson Lumber Co.,1991 Pruner Road,Riddle,97469
34-2762,342762Boni,Bonita Packaging Products Inc. dba Bonita Pioneer,7333 SW Bonita Rd,Portland,97224
15-0029,150029Care,Carestream Health Inc.,8124 Pacific Avenue,White City,97503
