"address","lat","lon"
"3750 NW YEON AVE, PORTLAND, OR 97210",45.549347,-122.718909
"10425 N BLOSS AVE, PORTLAND, OR 97203",45.598423,-122.729385
"14003 N RIVERGATE BLVD, PORTLAND, OR 97203",45.621753,-122.780138
"13939 N RIVERGATE BLVD, PORTLAND, OR 97203",45.621753,-122.780138
"17401 NE HALSEY ST, PORTLAND, OR 97230",45.534623,-122.48302
"3131 N COLUMBIA BLVD, PORTLAND, OR 97217",45.590221,-122.702404
"900 N THUNDERBIRD WAY, PORTLAND, OR 97227",45.530548,-122.668606
"800 N RIVER ST., PORTLAND, OR 97227",45.536943,-122.675574
"5528 NW DOANE AVE, PORTLAND, OR 97210",45.561277,-122.742738
"6350 NW FRONT AVE, PORTLAND, OR 97210",45.57039,-122.747141
"19000 NE SANDY BLVD, PORTLAND, OR 97230",45.545467,-122.467405
"3800 NW ST HELENS RD, PORTLAND, OR 97210",45.590097,-122.777919
"3000 NW SAINT HELENS RD, PORTLAND, OR 97210",45.5441,-122.721796
"15660 N LOMBARD ST, PORTLAND, OR 97203",45.637532,-122.766708
"11040 N LOMBARD ST, PORTLAND, OR 97203",45.608722,-122.767575
"7320 NE AIRPORT WAY, PORTLAND, OR 97218",45.585528,-122.584131
"2000 NW WILSON ST, PORTLAND, OR 97209",45.537741,-122.692815
"340 NE 11TH AVE, PORTLAND, OR 97232",45.525341,-122.65453
"100 NE COLUMBIA BLVD, PORTLAND, OR 97211",45.582145,-122.664963
"7200 NW FRONT AVE, PORTLAND, OR 97210",45.575458,-122.750162
"11535 N FORCE AVE, PORTLAND, OR 97217",45.60427,-122.694172
"8435 NE KILLINGSWORTH ST, PORTLAND, OR 97220",45.562611,-122.576227
"2201 NE 201ST AVE, FAIRVIEW, OR 97024",45.53924,-122.45665
"1621 SW TAYLOR, PORTLAND, OR 97205",45.520419,-122.688985
"4150 N SUTTLE RD, PORTLAND, OR 97217",45.614509,-122.709182
"6031 NE 92ND DR, PORTLAND, OR 97220",45.566268,-122.568193
"3722 SE 21ST AVE, PORTLAND, OR 97202",45.496166,-122.644588
"21015 SE STARK ST, GRESHAM, OR 97030",45.519182,-122.446566
"5325 NE SKYPORT WAY, PORTLAND, OR 97218",45.575667,-122.607601
"6801 NE CORNFOOT RD, PORTLAND, OR 97218",45.577272,-122.609148
"4635 NE CORNFOOT RD, PORTLAND, OR 97218",45.577636,-122.614004
"4600 NE 138TH AVE, PORTLAND, OR 97230",45.560159,-122.521056
"5825 NE SKYPORT WAY, PORTLAND, OR 97218",45.574809,-122.604847
"6849 NE COLUMBIA BLVD, PORTLAND, OR 97218",45.567036,-122.590293
"2985 N MARINE DR, PORTLAND, OR 97217",45.610507,-122.69556
"2300 SE HOGAN ROAD, GRESHAM, OR 97080",45.489671,-122.41387
"2840 NW 35TH AVE, PORTLAND, OR 97210",45.543681,-122.71901
"4424 NE 158TH AVE, PORTLAND, OR 97230",45.556053,-122.500245
"3737 N PORT CENTER WAY, PORTLAND, OR 97217",45.553855,-122.695856
"3004 N Wygant St, Portland, OR 97217",45.556525,-122.696939
"6308 N. MARINE DRIVE, PORTLAND, OR 97203",45.622165,-122.730055
"4436 NE 158TH AVE, PORTLAND, OR 97230",45.556304,-122.500172
"18683 NE SANDY BLVD, GRESHAM, OR 97230",45.545755,-122.470956
"866 N COLUMBIA BLVD, PORTLAND, OR 97217",45.583989,-122.675229
"2406 NW 30TH AVE, PORTLAND, OR 97210",45.539287,-122.712412
"4600 N SUTTLE RD, PORTLAND, OR 97217",45.616044,-122.712018
"6800 NE 59TH PL, PORTLAND, OR 97218",45.571819,-122.599846
"4429 N SUTTLE RD, PORTLAND, OR 97217",45.615589,-122.710863
"1900 SW 4th Ave, PORTLAND, OR 97201",45.509865,-122.681229
"7540 NW ST. HELENS RD., PORTLAND, OR 97210",45.590097,-122.777919
"2611 SE 4TH AVE, PORTLAND, OR 97202",45.5041,-122.661922
"1601 NE 192ND AVE, PORTLAND, OR 97230",45.534327,-122.466233
"15550 N LOMBARD ST, PORTLAND, OR 97203",45.63742,-122.766819
"9420 NW ST HELENS RD, PORTLAND, OR 97231",45.589173,-122.776305
"4466 NW YEON AVE, PORTLAND, OR 97210",45.554907,-122.732459
"20015 NE SANDY BLVD, GRESHAM, OR 97030",45.545032,-122.456627
"3625 N SUTTLE RD, PORTLAND, OR 97217",45.612848,-122.705796
"3900 NE 158TH AVE, PORTLAND, OR 97230",45.550886,-122.500227
"17650 NE SANDY BLVD, PORTLAND, OR 97230",45.546684,-122.482835
"1402 N RIVER ST, PORTLAND, OR 97227",45.539839,-122.680867
"3700 SE 17TH AVE, PORTLAND, OR 97202",45.496029,-122.648304
"15040 NE MASON ST, PORTLAND, OR 97230",45.554597,-122.507908
"8501 N BORTHWICK, PORTLAND, OR 97217",45.58481,-122.67332
"15540 N LOMBARD ST, PORTLAND, OR 97203",45.63741,-122.76683
"7124 N MARINE DR, PORTLAND, OR 97203",45.632557,-122.748177
"17711 NE RIVERSIDE PKWY, PORTLAND, OR 97230",45.555175,-122.472884
"13201 N LOMBARD ST, PORTLAND, OR 97203",45.61775,-122.770464
"2735 NE 82ND AVE, PORTLAND, OR 97220",45.541831,-122.578979
"1300 SE 2ND AVE, PORTLAND, OR 97214",45.513675,-122.663814
"4849 SE 26TH AVE, PORTLAND, OR 97202",45.487909,-122.639628
"3710 SW US VETERANS HOSPITAL RD, PORTLAND, OR 97239",45.496467,-122.684463
"6149 SW SHATTUCK RD, PORTLAND, OR 97221",45.479533,-122.738334
"8400 SE 26TH PL, PORTLAND, OR 97202",45.462408,-122.635997
"2077 NW MARSHALL ST, PORTLAND, OR 97209",45.53066,-122.693654
"1205 SE GRAND AVE, PORTLAND, OR 97214",45.514346,-122.660838
"21455 SW 120TH AVE, SHERWOOD, OR 97140",45.371478,-122.874613
"21880 SW FARMINGTON RD, BEAVERTON, OR 97007",45.457055,-122.901711
"1910 26TH AVE, FOREST GROVE, OR 97116",45.526986,-123.113676
"18610 SW PACIFIC DR., SHERWOOD, OR 97140",45.383306,-122.82115
"6700 SW 110TH AVE, BEAVERTON, OR 97008",45.471614,-122.788582
"21480 NW AMBERWOOD DR, HILLSBORO, OR 97124",45.537548,-122.897616
"49800 SW SCOGGINS VALLEY RD, GASTON, OR 97119",45.468992,-123.189299
"42060 NW SUNSET AVE, BANKS, OR 97106",45.636085,-123.110587
"1811 18TH ST, FOREST GROVE, OR 97116",45.517673,-123.084049
"31450 NW COMMERCIAL AVE, NORTH PLAINS, OR 97133",45.597624,-123.000052
"12365 SW HERMAN RD, TUALATIN, OR 97062",45.378501,-122.805461
"11815 SW HILLSBORO HWY, HILLSBORO, OR 97123",45.435012,-122.973292
"9205 SW BARNES RD, PORTLAND, OR 97225",45.509012,-122.771537
"17705 NW SPRINGVILLE RD, PORTLAND, OR 97229",45.563078,-122.859465
"1804 NW MARTIN RD, FOREST GROVE, OR 97116",45.533402,-123.080259
"335 SE 8TH AVE, HILLSBORO, OR 97123",45.519575,-122.977367
"8974 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062",45.380414,-122.76977
"4150 SW 185TH AVE, ALOHA, OR 97007",45.489672,-122.867253
"6801 SW SUNSET HWY, PORTLAND, OR 97225",45.506685,-122.749227
"1901 SE 24th Ave, HILLSBORO, OR 97123",45.502904,-122.956672
"2308 PACIFIC AVE, FOREST GROVE, OR 97116",45.519563,-123.10647
"31345 NW BEACH RD, HILLSBORO, OR 97124",45.588513,-122.999168
"21101 NW EVERGREEN PKWY, HILLSBORO, OR 97124",45.545694,-122.893795
"2300 NE BROOKWOOD PKWY, HILLSBORO, OR 97124",45.54435,-122.936682
"3935 NE ALOCLEK PL., HILLSBORO, OR 97124",45.547981,-122.890636
"SW CORNER OF NE CORNELL & BROOKWOOD PKWY, HILLSBORO, OR 97124",40.04167,-100.92544
"19301 NW VENETIAN DR, HILLSBORO, OR 97124",45.538305,-122.878974
"9835 NW 307TH AVE, NORTH PLAINS, OR 97133",45.592176,-122.993567
"30575 NW EVERGREEN RD, HILLSBORO, OR 97124",45.549894,-122.991202
"4475 SW FERN HILL RD, FOREST GROVE, OR 97116",45.487585,-123.093996
"23605 NW HUFFMAN ST, HILLSBORO, OR 97124",45.229191,-123.179569
"25300 NW EVERGREEN BLVD, HILLSBORO, OR 97214",45.549863,-122.984162
"10750 SW TUALATIN RD, TUALATIN, OR 97062",45.389675,-122.78702
"18155 SW TETON AVE, TUALATIN, OR 97062",45.388807,-122.783881
"21450 NW WEST UNION RD, HILLSBORO, OR 97124",45.570442,-122.8976
"18135 SW BOONES FERRY RD, TUALATIN, OR 97224",45.398976,-122.787637
"3941 24TH AVE, FOREST GROVE, OR 97116",45.525249,-123.079026
"18240 SW 100TH CT, TUALATIN, OR 97062",45.388813,-122.779903
"19005 SW 125TH CT, TUALATIN, OR 97062",45.38052,-122.806702
"1184 N FREMONT LN, CORNELIUS, OR 97113",45.524878,-123.055697
"12620 SW LEVETON DR, TUALATIN, OR 97062",45.384753,-122.807693
"19225 SW 125TH CT, TUALATIN, OR 97062",45.379785,-122.806648
"12000 SW 66TH AVE, TIGARD, OR 97223",45.436623,-122.79817
