"Facility Type","Site Name","Address","City","lat","lon","key","url","in_airport"
"Airport","LAKESIDE STATE Airport","Unknown","LAKESIDE",43.5832,-124.1804,"Airport_LAKESIDE_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_LAKESIDE_STATE",1
"Airport","COUNTRY SQUIRE AIRPARK Airport","Unknown","SANDY",45.3544,-122.2681,"Airport_COUNTRY_SQUIRE_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_COUNTRY_SQUIRE_AIRPARK",1
"Airport","MILLER MEMORIAL AIRPARK Airport","Unknown","VALE",43.9638,-117.2593,"Airport_MILLER_MEMORIAL_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_MILLER_MEMORIAL_AIRPARK",1
"Airport","SKYPORT Airport","Unknown","CORNELIUS",45.5826,-123.0529,"Airport_SKYPORT","www.portlandcleanair.org/files/detailed_co_info/Airport_SKYPORT",1
"Airport","FLYING M Airport","Unknown","YAMHILL",45.3621,-123.3557,"Airport_FLYING_M","www.portlandcleanair.org/files/detailed_co_info/Airport_FLYING_M",1
"Airport","PACIFIC CITY STATE Airport","Unknown","PACIFIC CITY",45.1998,-123.9623,"Airport_PACIFIC_CITY_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_PACIFIC_CITY_STATE",1
"Airport","DUNNING VINEYARDS Airport","Unknown","CORVALLIS",44.5975,-123.2331,"Airport_DUNNING_VINEYARDS","www.portlandcleanair.org/files/detailed_co_info/Airport_DUNNING_VINEYARDS",1
"Airport","OAKRIDGE STATE Airport","Unknown","OAKRIDGE",43.7526,-122.5026,"Airport_OAKRIDGE_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_OAKRIDGE_STATE",1
"Airport","Boardman Airport","Unknown","Boardman",45.81483,-119.8205,"Airport_Boardman","www.portlandcleanair.org/files/detailed_co_info/Airport_Boardman",1
"Airport","GEORGE FELT Airport","Unknown","ROSEBURG",43.2248,-123.397,"Airport_GEORGE_FELT","www.portlandcleanair.org/files/detailed_co_info/Airport_GEORGE_FELT",1
"Airport","CASCADE LOCKS STATE Airport","Unknown","CASCADE LOCKS",45.6769,-121.8789,"Airport_CASCADE_LOCKS_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_CASCADE_LOCKS_STATE",1
"Airport","SISTERS EAGLE AIR Airport","Unknown","SISTERS",44.3046,-121.5392,"Airport_SISTERS_EAGLE_AIR","www.portlandcleanair.org/files/detailed_co_info/Airport_SISTERS_EAGLE_AIR",1
"Airport","PROSPECT STATE Airport","Unknown","PROSPECT",42.7432,-122.4881,"Airport_PROSPECT_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_PROSPECT_STATE",1
"Airport","TOLEDO STATE Airport","Unknown","TOLEDO",44.601,-123.9396,"Airport_TOLEDO_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_TOLEDO_STATE",1
"Airport","CAPE BLANCO STATE Airport","Unknown","DENMARK",42.8579,-124.5176,"Airport_CAPE_BLANCO_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_CAPE_BLANCO_STATE",1
"Airport","SHADY COVE AIRPARK Airport","Unknown","SHADY COVE",42.6082,-122.8262,"Airport_SHADY_COVE_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_SHADY_COVE_AIRPARK",1
"Airport","DAVIS Airport","Unknown","GATES",44.7457,-122.4215,"Airport_DAVIS","www.portlandcleanair.org/files/detailed_co_info/Airport_DAVIS",1
"Airport","ARLINGTON MUNI Airport","Unknown","ARLINGTON",45.7165,-120.1678,"Airport_ARLINGTON_MUNI","www.portlandcleanair.org/files/detailed_co_info/Airport_ARLINGTON_MUNI",1
"Airport","WAKONDA BEACH STATE Airport","Unknown","WALDPORT",44.3846,-124.0851,"Airport_WAKONDA_BEACH_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_WAKONDA_BEACH_STATE",1
"Airport","MALIN Airport","Unknown","MALIN",42.001,-121.3964,"Airport_MALIN","www.portlandcleanair.org/files/detailed_co_info/Airport_MALIN",1
"Airport","PINEHURST STATE Airport","Unknown","PINEHURST",42.1102,-122.3832,"Airport_PINEHURST_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_PINEHURST_STATE",1
"Airport","SKYDIVE OREGON Airport","Unknown","MOLALLA",45.1462,-122.6176,"Airport_SKYDIVE_OREGON","www.portlandcleanair.org/files/detailed_co_info/Airport_SKYDIVE_OREGON",1
"Airport","MEMALOOSE Airport","Unknown","IMNAHA",45.4277,-116.6938,"Airport_MEMALOOSE","www.portlandcleanair.org/files/detailed_co_info/Airport_MEMALOOSE",1
"Airport","LAKE BILLY CHINOOK STATE Airport","Unknown","CULVER",44.5193,-121.3206,"Airport_LAKE_BILLY_CHINOOK_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_LAKE_BILLY_CHINOOK_STATE",1
"Airport","OWYHEE RESERVOIR STATE Airport","Unknown","OWYHEE",43.4249,-117.3454,"Airport_OWYHEE_RESERVOIR_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_OWYHEE_RESERVOIR_STATE",1
"Airport","DIETZ AIRPARK Airport","Unknown","CANBY",45.2557,-122.6509,"Airport_DIETZ_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_DIETZ_AIRPARK",1
"Airport","HAPPY VALLEY Airport","Unknown","HAPPY VALLEY",45.4482,-122.4995,"Airport_HAPPY_VALLEY","www.portlandcleanair.org/files/detailed_co_info/Airport_HAPPY_VALLEY",1
"Airport","POWERS Airport","Unknown","POWERS",42.8696,-124.0593,"Airport_POWERS","www.portlandcleanair.org/files/detailed_co_info/Airport_POWERS",1
"Airport","MC KENZIE BRIDGE STATE Airport","Unknown","MC KENZIE BRIDGE",44.1832,-122.0887,"Airport_MC_KENZIE_BRIDGE_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_MC_KENZIE_BRIDGE_STATE",1
"Airport","WORKMAN AIRPARK Airport","Unknown","CANBY",45.2076,-122.6693,"Airport_WORKMAN_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_WORKMAN_AIRPARK",1
"Airport","PAISLEY Airport","Unknown","PAISLEY",42.7179,-120.5628,"Airport_PAISLEY","www.portlandcleanair.org/files/detailed_co_info/Airport_PAISLEY",1
"Airport","SUNSET AIR STRIP Airport","Unknown","NORTH PLAINS",45.5915,-123.0096,"Airport_SUNSET_AIR_STRIP","www.portlandcleanair.org/files/detailed_co_info/Airport_SUNSET_AIR_STRIP",1
"Airport","TOKETEE STATE Airport","Unknown","CLEARWATER",43.2235,-122.4209,"Airport_TOKETEE_STATE","www.portlandcleanair.org/files/detailed_co_info/Airport_TOKETEE_STATE",1
"Airport","EAGLE NEST RANCH Airport","Unknown","ESTACADA",45.3548,-122.3459,"Airport_EAGLE_NEST_RANCH","www.portlandcleanair.org/files/detailed_co_info/Airport_EAGLE_NEST_RANCH",1
"Airport","DANIELS FIELD Airport","Unknown","HARRISBURG",44.2721,-123.0609,"Airport_DANIELS_FIELD","www.portlandcleanair.org/files/detailed_co_info/Airport_DANIELS_FIELD",1
"Airport","NORTH PLAINS Airport","Unknown","NORTH PLAINS",45.604,-123.0248,"Airport_NORTH_PLAINS","www.portlandcleanair.org/files/detailed_co_info/Airport_NORTH_PLAINS",1
"Airport","OLINGER AIRPARK Airport","Unknown","HILLSBORO",45.5598,-123.0196,"Airport_OLINGER_AIRPARK","www.portlandcleanair.org/files/detailed_co_info/Airport_OLINGER_AIRPARK",1
"Airport","BEAGLE SKY RANCH Airport","Unknown","MEDFORD",42.539,-122.9039,"Airport_BEAGLE_SKY_RANCH","www.portlandcleanair.org/files/detailed_co_info/Airport_BEAGLE_SKY_RANCH",1
