00091	5069	541.BF1	Separator for finish mill #1 (541.BM1, 541.SR1, 591.AS1, 591.CQ1 & 591.PP1)	30500616
00092	5069	611.BF8	Loading bins (611.BE1, 611.SC8, 611.SC9, 622.BI1, 622.BI2, 622.BI3, 621.BI1, 621.BI2 & 621.BI3)	30500619
00093	5069	611.BF1(CP')	Cement silo #1 (611.SI1)	30500618
00094	5069	611.BF2(CP')	Cement silo #2 (611.SI2)	30500618
00095	5069	611.BF3(CP')	Cement silo #3 (611.SI3)	30500618
00096	5069	611.BF4	Cement silo #4 (611.SI4)	30500618
00097	5069	611.BF5	Cement storage dome (611.SI5)	30500618
00098	5069	622.BF1(CP')	Rail car loading spout (622.LS1)	30500619
00099	5069	621.BF1(CP')	Truck loading spout (621.LS1)	30500619
00100	5069	521.BF1	Rail car unloading hopper (521.BC1)	30500607
00101	5069	521.BF5	new coal receiving / reclaim system (521.VF3 to 521.BCA)	30500608
00102	5069	521.BF5	new coal receiving / reclaim system (521.VF3 to 521.BCA)	30500607
00103	5069	521.BF6	new coal receiving / reclaim system (521.BCA to 521.BCB)	30500608
00104	5069	521.BF6	new coal receiving / reclaim system (521.BCA to 521.BCB)	30500607
00105	5069	521.BF2(KG')	Conveying system for gypsum/clinker/coal silo loading (521.SC1, 521.SC2, 521.BC3, 521.BE1& 521.BC7, 476.BC1, 521.EE1, 521.HP3)	30500607
00106	5069	521.BF2(KG')	Conveying system for gypsum/clinker/coal silo loading (521.SC1, 521.SC2, 521.BC3, 521.BE1& 521.BC7, 476.BC1, 521.EE1, 521.HP3)	30500608
00107	5069	521.BF3(KG')	Conveying system for gypsum/clinker/coal silo/pile loading  (521.BC5, 521.BC4, 521.LS1)	30500607
00108	5069	521.BF3(KG')	Conveying system for gypsum/clinker/coal silo/pile loading  (521.BC5, 521.BC4, 521.LS1)	30500608
00109	5069	532.BF5(KG')	Finish mill feed system (532.WF2, 532.WF4, 532.WF6, 532.WF7 & 531.BC1)	30500616
00110	5069	PT-FU-02A	  Coal Pile	30500608
00111	5069	PT-FU-02B	  Coal Pile	30510303
00112	5069	PT-FU-03A	  Gypsum Pile	30500607
00113	5069	PT-FU-03B	  Gypsum Pile	30510399
00114	5069	PT-FU-04A	  Iron Ore Pile	30500607
00115	5069	PT-FU-04B	  Iron Ore Pile	30510399
00116	5069	PT-FU-05A	  Clinker Pile	30500616
00117	5069	PT-FU-05B	  Clinker Pile	30510399
00118	5069	PT-FU-08	  Chemical Grade Limestone Pit and Loadout, Coal/Clinker/Gypsum Reclaim Pit	30500607
00119	5069	PT-FU-08	  Chemical Grade Limestone Pit and Loadout, Coal/Clinker/Gypsum Reclaim Pit	30500621
00120	5069	OP2	Remote Stack Yard - SE of Primary Crusher - Includes Sugar Rock, Stemming Rock and Sugar Rock Fines	30510302
00121	5069	OP5	   Cement Rock near Old Secondary	30510302
00122	5069	OP8	   High Alumina - Near shale pit north of shale crusher	30510399
00123	5069	OP9	   Low Alumina - Near shale pit north of shale crusher	30510399
00124	5069	OP10	   Stemming Rock	30510305
00125	5069	431.BF1 & 476.BF3	Pyroprocessing	30500606
00126	5069	431.BF1 & 476.BF3	Pyroprocessing	30500606
00127	5069	431.BF1 & 476.BF3	Pyroprocessing	30500606
00128	5069	431.BF1 & 476.BF3	Pyroprocessing	30500606
00129	5069	431.BF1 & 476.BF3	Pyroprocessing	30500606
00130	5069	431.BF1 & 476.BF3	Pyroprocessing	30500606
00131	5069	431.BF1 & 476.BF3	Pyroprocessing	30500606
00132	5069	Boiler Natural Gas	Boiler Natural Gas	10200603
00133	5069	Fuel Gas Heater	Boiler Natural Gas	10200603
00134	5069	Recip Engine Unit 1	Reciprocating Engine	20200252
00135	5069	Recip Engine Unit 2	Reciprocating Engine	20200252
00136	5069	Recip Engine Unit 3	Reciprocating Engine	20200252
00137	5069	Recip Enginer Unit 4	Reciprocating Engine	20200252
00138	5069	Emergency Generator	Reciprocating Engine	20200253
00150	7977	Transit Mixed Concrete Plant	Concrete yards batched
