00200	F-LFG1	fugitie landfill gas generated in cell 0	50410563	9303
00201	F-LFG2	fugitive landfill gas generated in all other cells	50410563	9303
00202	Open Flare-1	landfill gas collected and sent to the flare	50100410	9303
00203	Open Flare-2	landfill gas collected and sent to the flare	50100410	9303
00204	TIP	number of hours tipper operated	50100410	9303
00205	PCS	Petroleum contaminated soil received	50410563	9303
00206	EU1	Caterpillar 3516 Landfill Gas Engines 1 - 3	20100802	9303
00207	EU2	Caterpillar 3520 Landfill Gas Engines 4 - 5	20100802	9303
00208	CONC	Concrete Production	6597
00209	BLRS	Boiler	6597
00210	COAT	Concrete Coating	6597
00211	WELD	Rebar Welding	6597
00214	Boards Dept / Welding (GMAW)-1	Stainless Welding	30905800	9303
00215	Boards Dept / Welding(FCAW)-2	Mild Steel	309053	9303
00216	Boards Dept / Welding-(GMAW) 3	Aluminum Boards	30905200	9303
00217	Boards Dept / Welding (GMAW)-4	Mild Steel	30905200	9303
00218	Rails / Welding (GMAW)	Mild Steel	30905200	9303
00219	Boards Department	Finishing Area	none	9303
00220	Mechanized/Non-atomized	Styrene	NA	9303
00221	Manual/hand	Styrene	NA	9303
00222	Gelcoat	Styrene	NA	9303
00223	Resin RTM	Styrene	NA	9303
00241	Concrete Batchplant	Cubic yard batched	6597
00242	Hot Water Heater	Boiler (3.8 MBTU)	6597
00248	Boiler 1	Digester Boiler	NA	9303
00249	Boiler 1	Natural Gas	NA	9303
00250	Flare 1	Digester Flare	NA	9303
00251	Gen Engine 1	Digester Engine	NA	9303
00252	Process Flow	Water Treatment Process Flow	NA	9303
00256	Boiler 1	Digester Boiler	NA	9303
00257	Boiler 1	Natural Gas	NA	9303
00258	Flare 1	Digester Flare	NA	9303
00259	Gen Engine 1	Digester Engine	NA	9303
00260	Gen Engine 2	Diesel Engine	NA	9303
00261	Process Flow	Water Treatment Process Flow	NA	9303
00266	Furnace	Natural gas	39900601	9303
00267	Abbrasive blasting	Abbrasive blasting	30900208	9303
00268	Forklift	LPG	20301001	9303
00269	Air arc	Carbon arc cutting	30904700	9303
00270	Electric induction furnace	Electric induction furnace	30400705	9303
00271	Pouring/casting	Pouring/casting	30400708	9303
00272	Casting/cooling	Casting/cooling	30400713	9303
00273	Casting knockout	Casting knockout	30400710	9303
00274	Finishing clean/grind	Finishing clean/grind	30400711	9303
00275	Sand handling/reclamation	Sand handling/reclimation	30400714	9303
00276	Mold wash	Mold wash	NA	9303
00277	Air Casting, Steel Parts	Air Casting	30405001	9303
