"address","lat","lon","clean_address"
"4429 N SUTTLE RD, PORTLAND, OR 97217",45.6154708,-122.7128875,"4429 N Suttle Rd, Portland, OR 97217, USA"
"1900 SW 4th Ave, PORTLAND, OR 97201",45.5095322,-122.6807043,"1900 SW 4th Ave, Portland, OR 97201, USA"
"7540 NW ST. HELENS RD., PORTLAND, OR 97210",45.57705,-122.759522,"7540 NW St Helens Rd, Portland, OR 97210, USA"
"2611 SE 4TH AVE, PORTLAND, OR 97202",45.5038449,-122.6622418,"2611 SE 4th Ave, Portland, OR 97202, USA"
"1601 NE 192ND AVE, PORTLAND, OR 97230",45.5348934,-122.4679582,"1601 NE 192nd Ave, Portland, OR 97230, USA"
"15550 N LOMBARD ST, PORTLAND, OR 97203",45.6368252,-122.7722808,"15550 N Lombard St, Portland, OR 97203, USA"
"9420 NW ST HELENS RD, PORTLAND, OR 97231",45.590426,-122.77745,"9420 NW St Helens Rd, Portland, OR 97231, USA"
"4466 NW YEON AVE, PORTLAND, OR 97210",45.5548451,-122.731976,"4466 NW Yeon Ave, Portland, OR 97210, USA"
"20015 NE SANDY BLVD, GRESHAM, OR 97030",45.546652,-122.45893,"20015 NE Sandy Blvd, Portland, OR 97230, USA"
"3625 N SUTTLE RD, PORTLAND, OR 97217",45.6129397,-122.7059843,"3625 N Suttle Rd, Portland, OR 97217, USA"
"3900 NE 158TH AVE, PORTLAND, OR 97230",45.5510528,-122.497493,"3900 NE 158th Ave, Portland, OR 97230, USA"
"17650 NE SANDY BLVD, PORTLAND, OR 97230",45.5438103,-122.4811211,"17650 NE Sandy Blvd, Portland, OR 97230, USA"
"1402 N RIVER ST, PORTLAND, OR 97227",45.5406692,-122.6837214,"1402 N River St, Portland, OR 97227, USA"
"3700 SE 17TH AVE, PORTLAND, OR 97202",45.4954398,-122.6480297,"3700 SE 17th Ave, Portland, OR 97202, USA"
"15040 NE MASON ST, PORTLAND, OR 97230",45.5530778,-122.5080904,"15040 NE Mason St, Portland, OR 97230, USA"
"8501 N BORTHWICK, PORTLAND, OR 97217",45.5848058,-122.67332,"8501 N Borthwick Ave, Portland, OR 97217, USA"
"15540 N LOMBARD ST, PORTLAND, OR 97203",45.6386102,-122.7733447,"15540 N Lombard St, Portland, OR 97203, USA"
"7124 N MARINE DR, PORTLAND, OR 97203",45.6322375,-122.7506062,"7124 N Marine Dr, Portland, OR 97203, USA"
"17711 NE RIVERSIDE PKWY, PORTLAND, OR 97230",45.5541853,-122.4819154,"17711 NE Riverside Pkwy, Portland, OR 97230, USA"
"13201 N LOMBARD ST, PORTLAND, OR 97203",45.6196407,-122.7702907,"13201 N Lombard St, Portland, OR 97203, USA"
"2735 NE 82ND AVE, PORTLAND, OR 97220",45.5418578,-122.5803472,"2735 NE 82nd Ave, Portland, OR 97220, USA"
"1300 SE 2ND AVE, PORTLAND, OR 97214",45.5134255,-122.6631536,"1300 SE 2nd Ave, Portland, OR 97214, USA"
"4849 SE 26TH AVE, PORTLAND, OR 97202",45.4877691,-122.6401839,"4849 SE 26th Ave, Portland, OR 97202, USA"
"3710 SW US VETERANS HOSPITAL RD, PORTLAND, OR 97239",45.4969272,-122.6840952,"3710 SW US Veterans Hospital Rd, Portland, OR 97239, USA"
"6149 SW SHATTUCK RD, PORTLAND, OR 97221",45.4801071,-122.741154,"6149 SW Shattuck Rd, Portland, OR 97221, USA"
"8400 SE 26TH PL, PORTLAND, OR 97202",45.4619507,-122.6360694,"8400 SE 26th Pl, Portland, OR 97202, USA"
"2077 NW MARSHALL ST, PORTLAND, OR 97209",45.5307406,-122.6943484,"2077 NW Marshall St, Portland, OR 97209, USA"
"1205 SE GRAND AVE, PORTLAND, OR 97214",45.5141665,-122.6611216,"Mr Formal in Portland, OR, USA, 1205 SE Grand Ave, Portland, OR 97214, USA"
"21455 SW 120TH AVE, SHERWOOD, OR 97140",45.365978,-122.800905,"21455 SW 120th Ave, Tualatin, OR 97062, USA"
