"key","Pollutant","2016 Total Emissions (lbs)","2016 Total Uncontrolled Emissions (lbs)","2016 Total Other Emissions (lbs)","Is Heavy Metal"
"26-1865","Benz[a]anthracene","0.003","0.003","0.000","FALSE"
"26-1865","3-Methylcholanthrene","0.003","0.003","0.000","FALSE"
"26-1865","Benzo[b]fluoranthene","0.003","0.003","0.000","FALSE"
"26-1865","Indeno[1,2,3-cd]pyrene","0.003","0.003","0.000","FALSE"
"26-1865","Chrysene","0.003","0.003","0.000","FALSE"
"26-1865","Acenaphthylene","0.003","0.003","0.000","FALSE"
"26-1865","Acenaphthene","0.003","0.003","0.000","FALSE"
"26-1865","Benzo[a]pyrene","0.002","0.002","0.000","FALSE"
"26-1865","Dibenz[a,h]acridine","0.002","0.002","0.000","FALSE"
"26-1865","Benzo[g,h,i]perylene","0.002","0.002","0.000","FALSE"
"26-1876","Total - All Pollutants","3,821.049","3,820.520","0.529","NA"
"26-1876","Ammonia","1,789.440","1,789.440","0.000","FALSE"
"26-1876","Hexane","1,006.560","1,006.560","0.000","FALSE"
"26-1876","Total - Heavy Metals Only","850.845","850.316","0.529","TRUE"
"26-1876","Lead","463.311","463.311","0.000","TRUE"
"26-1876","Chromium VI","257.242","257.242","0.000","TRUE"
"26-1876","Silica, crystalline (respirable)","53.600","53.600","0.000","FALSE"
"26-1876","Selenium","49.832","49.832","0.000","TRUE"
"26-1876","Formaldehyde","41.940","41.940","0.000","FALSE"
"26-1876","Hydrochloric acid","39.600","39.600","0.000","FALSE"
"26-1876","Cadmium","21.788","21.788","0.000","TRUE"
"26-1876","Manganese","16.777","16.777","0.000","TRUE"
"26-1876","Arsenic","16.303","16.303","0.000","TRUE"
"26-1876","Zinc","16.217","16.217","0.000","TRUE"
"26-1876","Toluene","14.819","14.819","0.000","FALSE"
"26-1876","Xylenes (mixed) including:","11.016","11.016","0.000","FALSE"
"26-1876","Nickel","6.187","5.658","0.529","TRUE"
"26-1876","Ethyl benzene","3.858","3.858","0.000","FALSE"
"26-1876","Benzene","3.243","3.243","0.000","FALSE"
"26-1876","Barium","2.460","2.460","0.000","FALSE"
"26-1876","Acetaldehyde","1.734","1.734","0.000","FALSE"
"26-1876","Acrolein","1.510","1.510","0.000","FALSE"
"26-1876","Vanadium (fume or dust)","1.286","1.286","0.000","TRUE"
"26-1876","Molybdenum trioxide","0.923","0.923","0.000","TRUE"
"26-1876","Copper and compounds","0.475","0.475","0.000","TRUE"
"26-1876","Mercury","0.457","0.457","0.000","TRUE"
"26-1876","Naphthalene","0.341","0.341","0.000","FALSE"
"26-1876","Cobalt","0.047","0.047","0.000","TRUE"
"26-1876","Beryllium","0.033","0.033","0.000","FALSE"
"26-1876","2-Methyl naphthalene","0.013","0.013","0.000","FALSE"
"26-1876","Phenanthrene","0.010","0.010","0.000","FALSE"
