"","company_source_no","company_name","address","total_unfiltered_emissions","total_unfiltered_emissions_heavy_metals_only"
"218","27-0004","Forest River, Inc.","1429 and 1430 SE Uglow Avenue, Dallas, 97338",143.123426384314,1.08631341176471
"219","09-9508","Suterra LLC","20950 Talus Place, Bend, OR, 97701",141.0268736253,1.042241742
"220","03-2505","Orchid Othropedic Solutions","13963 Fir street , Oregon City, 97045",140.646211966,1.06751124
"221","07-0001","Contact Industries, LLC","1155 N. Main     PO Box 309, Prineville, OR, 97754",138.2722650106,0.530529084
"222","24-8062","Foster Farms, LLC  -  Donald Feedmill","11671 Ehlen Road, Aurora, 97002",130.588945058,0.99117612
"223","34-2790","Tokyo Ohka Kogyo America, Inc.","4600 NE Brookwood Parkway, Hillsboro, 97124",130.222088102977,0.98839165878
"224","04-0006","BioOregon Protein, Inc.","1935 NW Warrenton Drive, Warrenton, 97146",125.45662844,0.9522216
"225","22-0042","Isovolta Inc.","495 Territorial Street, Harrisburg, 97446",122.14187768692,0.9270624888
"226","22-8041","Selmet Inc.","33992 SE Seven Mile Ln., Albany, 97322",112.224775847937,2.42182881229525
"227","26-2572","Container Management Services, LLC","3000 NW St. Helens Road, Portland, 97210",105.49761937,0.8007318
"228","26-3254","Oregon Air National Guard","6801 NE Cornfoot Road, Portland, 97218",103.34600039922,0.124782550256
"229","24-9201","McMinnville Compressor Station","6302 Torvend Road NE, Silverton, 97381",101.691640436628,0.0019792044
"230","26-0171","East Side Plating - Plant #4","310 SE Stephens St, Portland, 97214",99.473487399586,98.691727107124
"231","15-0104","Allweather Wood LLC","7893 Pacific Avenue , White City , 97503",97.8819014267176,0.861749790064
"232","07-0022","Les Schwab Production Center","717 NW Madras Highway, Prineville, 97754",97.4184645908628,0.739410642352941
"233","05-0023","Columbia Pacific Bio-Refinery","81200 Kallunki Road, Clatskanie, 97016",95.3028760136454,NA
"234","18-0022","Electro Scientific Industries ","4700 ESI Way , Klamath Falls , 97601",94.403520822,0.71652708
"235","36-9504","City of Newberg WWTP","2301 NE Wynooski Rd, Newberg, 97132",87.83976,0.11316
"236","05-2042","Dyno Nobel Inc.","63149 Columbia River Highway, Deer Island, 97054",87.83,NA
"237","36-0026","Lippert Components, Inc. Plant 107","150 SE Booth Bend Road, McMinnville, 97128",82.016,82.016
"238","27-0005","Elkay Wood Products Company","625 Hoffman Road, Independence, 97351-9805",70.50455152,0.5351328
"239","03-2729","Oregon City Compressor Station","13124 Springwater Road South, Oregon City    , 97045",67.057040308,0.02321532
"240","03-2719","Georgia-Pacific Gypsum, LLC","505 NE 3rd Avenue, Canby, 97103",66.6319853446,0.505739844
"241","03-2631","Eagle Foundry Co.","23123 SE Eagle Creek Road, PO Box 250, Eagle Creek, 97022",66.577964685,0.745367185
"242","22-8043","Forest River, Inc.","30725 Diamond Hill Road, Harrisburg, 97446",63.5313504901961,0.482205882352941
"243","01-0029","Ash Grove Cement Company - Durkee","33060 Shirttail Creek Road, Durkee, 97905",48.1409170974301,48.1409170974301
"244","24-9213","Panasonic Eco Solutions Solar America, LLC","5475 Gaffin Rd. SE, Salem, 97317",42.23755764,0.05441274
"245","10-0152","Winchester Compressor Station","1137 Brozio Road, Winchester   , 97495",41.96102574327,0.033450593
"246","26-3036","East Side Plating - Plant #1,2,3","8400 SE 26th Pl., Portland, 97202",41.25653995575,41.2068949651
"247","34-0149","Avery Regional Service Center","10800 SW Avery St, Tualatin, 97062-8585",37.561942624,0.553904284
"248","26-1889","J.R. Simplot Company, Rivergate Terminal","14003 N Rivergate Blvd, Portland, 97203",37.466582040328,0.282576650630456
"249","14-0003","Bear Mountain Forest Products, Inc.","5 NW Cramblett Way, Cascade Locks, OR, 97014",36.56632,NA
"250","26-9550","Portland Service Center","3700 SE 17th Ave, Portland, 97202-3833",35.2819471488,0.0454521408
"251","26-3230","Lacamas Laboratories","3625 N Suttle Rd, Portland, 97217",34.5368619284,0.262136376
"252","03-0037","J and D Fertilizers, Ltd.","9205 S Kraxberger Rd., Canby, 97013",33.6970283,0.255762
"253","26-3311","Supreme Group","4600 NE 138th Avenue, Portland, 97230",32.508,32.508
